title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_pct_2025_actual,outlook_pct_ai,outlook_desc,employment_change,url
Credit and Loans Officers (Aus) \ Finance Clerks (NZ),55-numerical-clerks,credit-and-loans-officers-aus-finance-clerks-nz,5522,93912,,Certificate II or III,,,38200,,8,1,-7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Insurance, Money Market and Statistical Clerks",55-numerical-clerks,insurance-money-market-and-statistical-clerks,5523,78052,,Certificate III or IV,,,40500,,8,2,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Betting Clerks,56-clerical-and-office-support-workers,betting-clerks,5611,,,Certificate II or III,,,1600,,-2,-6,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Couriers and Postal Deliverers,56-clerical-and-office-support-workers,couriers-and-postal-deliverers,5612,78156,,Certificate II or III,,,44200,,-1,2,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Filing and Registry Clerks,56-clerical-and-office-support-workers,filing-and-registry-clerks,5613,83304,,Certificate II or III,,,18500,,0,2,-12,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Mail Sorters,56-clerical-and-office-support-workers,mail-sorters,5614,,,Certificate II or III,,,12600,,-2,-6,-9,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Survey Interviewers,56-clerical-and-office-support-workers,survey-interviewers,5615,,,Certificate II or III,,,700,,-2,-100,-8,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Switchboard Operators,56-clerical-and-office-support-workers,switchboard-operators,5616,,,Certificate II or III,,,2600,,2,4,-16,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Clerical and Office Support Workers,56-clerical-and-office-support-workers,other-clerical-and-office-support-workers,5619,74516,,Certificate II or III,,,5900,,-2,0,-10,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Purchasing and Supply Logistics Clerks,59-other-clerical-and-administrative-workers,purchasing-and-supply-logistics-clerks,5911,80756,,Certificate II or III,,,126900,,11,6,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Transport and Despatch Clerks,59-other-clerical-and-administrative-workers,transport-and-despatch-clerks,5912,88764,,Certificate II or III,,,45900,,11,2,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Conveyancers and Legal Executives,59-other-clerical-and-administrative-workers,conveyancers-and-legal-executives,5991,81900,,Certificate II or III,,,16000,,9,-6,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Court and Legal Clerks,59-other-clerical-and-administrative-workers,court-and-legal-clerks,5992,69940,,Certificate II or III,,,21100,,8,6,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Debt Collectors,59-other-clerical-and-administrative-workers,debt-collectors,5993,78988,,Certificate I or no formal qualification,,,6900,,8,10,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Human Resource Clerks,59-other-clerical-and-administrative-workers,human-resource-clerks,5994,76752,,Certificate III or IV,,,23200,,10,2,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Inspectors and Regulatory Officers,59-other-clerical-and-administrative-workers,inspectors-and-regulatory-officers,5995,96824,,Diploma or Advanced Diploma,,,45200,,7,3,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Insurance Investigators, Loss Adjusters and Risk Surveyors",59-other-clerical-and-administrative-workers,insurance-investigators-loss-adjusters-and-risk-surveyors,5996,103740,,Diploma or Advanced Diploma,,,8600,,8,8,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Library Assistants,59-other-clerical-and-administrative-workers,library-assistants,5997,92508,,Certificate II or III,,,7100,,6,1,-7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Miscellaneous Clerical and Administrative Workers,59-other-clerical-and-administrative-workers,other-miscellaneous-clerical-and-administrative-workers,5999,82680,,Diploma or Advanced Diploma,,,22200,,11,2,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Auctioneers, and Stock and Station Agents",61-sales-representatives-and-agents,auctioneers-and-stock-and-station-agents,6111,,,Certificate I or no formal qualification,,,2900,,5,-10,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Insurance Agents,61-sales-representatives-and-agents,insurance-agents,6112,81068,,Certificate III or IV,,,16500,,3,4,-6,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Sales Representatives,61-sales-representatives-and-agents,sales-representatives,6113,87984,,Certificate III or IV,,,70800,,4,-1,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Real Estate Sales Agents,61-sales-representatives-and-agents,real-estate-sales-agents,6121,78208,,Certificate III or IV,,,108500,,14,3,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Sales Assistants (General),62-sales-assistants-and-salespersons,sales-assistants-general,6211,64532,,Certificate III or IV,,,559800,,7,1,-7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
ICT Sales Assistants,62-sales-assistants-and-salespersons,ict-sales-assistants,6212,61256,,Certificate II or III,,,14900,,8,-3,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Motor Vehicle and Vehicle Parts Salespersons,62-sales-assistants-and-salespersons,motor-vehicle-and-vehicle-parts-salespersons,6213,68432,,Certificate II or III,,,40100,,7,6,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Pharmacy Sales Assistants,62-sales-assistants-and-salespersons,pharmacy-sales-assistants,6214,57824,,Certificate II or III,,,42100,,7,4,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Retail Supervisors,62-sales-assistants-and-salespersons,retail-supervisors,6215,65884,,Certificate III or IV,,,46900,,7,3,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Service Station Attendants,62-sales-assistants-and-salespersons,service-station-attendants,6216,64116,,Certificate II or III,,,14000,,7,5,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Street Vendors and Related Salespersons,62-sales-assistants-and-salespersons,street-vendors-and-related-salespersons,6217,,,Certificate II or III,,,4600,,8,-11,-8,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Sales Assistants and Salespersons,62-sales-assistants-and-salespersons,other-sales-assistants-and-salespersons,6219,68536,,Certificate II or III,,,12000,,8,-15,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Checkout Operators and Office Cashiers,63-sales-support-workers,checkout-operators-and-office-cashiers,6311,56004,,Certificate I or no formal qualification,,,121200,,4,-4,-11,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Models and Sales Demonstrators,63-sales-support-workers,models-and-sales-demonstrators,6391,,,Certificate II or III,,,10800,,5,6,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Retail and Wool Buyers,63-sales-support-workers,retail-and-wool-buyers,6392,79820,,Diploma or Advanced Diploma,,,7900,,4,3,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Telemarketers,63-sales-support-workers,telemarketers,6393,,,Certificate II or III,,,5000,,5,0,-14,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Ticket Salespersons,63-sales-support-workers,ticket-salespersons,6394,66352,,Certificate II or III,,,19100,,5,5,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Visual Merchandisers,63-sales-support-workers,visual-merchandisers,6395,62400,,Diploma or Advanced Diploma,,,7700,,4,-1,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Sales Support Workers,63-sales-support-workers,other-sales-support-workers,6399,70876,,Certificate II or III,,,6500,,4,-3,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Clay, Concrete, Glass and Stone Processing Machine Operators",71-machine-and-stationary-plant-operators,clay-concrete-glass-and-stone-processing-machine-operators,7111,89232,,Certificate II or III,,,2900,,6,3,-7,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Industrial Spraypainters,71-machine-and-stationary-plant-operators,industrial-spraypainters,7112,,,Certificate II or III,,,5900,,6,-2,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Paper and Wood Processing Machine Operators,71-machine-and-stationary-plant-operators,paper-and-wood-processing-machine-operators,7113,75452,,Certificate III or IV,,,5600,,1,-7,-8,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Photographic Developers and Printers,71-machine-and-stationary-plant-operators,photographic-developers-and-printers,7114,73112,,Certificate III or IV,,,1500,,5,7,-12,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Plastics and Rubber Production Machine Operators,71-machine-and-stationary-plant-operators,plastics-and-rubber-production-machine-operators,7115,88816,,Certificate III or IV,,,7400,,5,0,-9,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Sewing Machinists,71-machine-and-stationary-plant-operators,sewing-machinists,7116,55484,,Certificate II or III,,,6100,,8,-7,-10,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Textile and Footwear Production Machine Operators,71-machine-and-stationary-plant-operators,textile-and-footwear-production-machine-operators,7117,63700,,Certificate III or IV,,,1800,,4,0,-11,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Machine Operators,71-machine-and-stationary-plant-operators,other-machine-operators,7119,80808,,Certificate II or III,,,13800,,9,-3,-8,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Crane, Hoist and Lift Operators",71-machine-and-stationary-plant-operators,crane-hoist-and-lift-operators,7121,177372,,Certificate II or III,,,18400,,8,9,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Drillers, Miners and Shot Firers",71-machine-and-stationary-plant-operators,drillers-miners-and-shot-firers,7122,151216,,Certificate II or III,,,66400,,6,1,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Engineering Production Workers,71-machine-and-stationary-plant-operators,engineering-production-workers,7123,86112,,Certificate III or IV,,,20500,,12,-1,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Stationary Plant Operators,71-machine-and-stationary-plant-operators,other-stationary-plant-operators,7129,104988,,Certificate III or IV,,,24500,,7,-1,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Agricultural, Forestry and Horticultural Plant Operators",72-mobile-plant-operators,agricultural-forestry-and-horticultural-plant-operators,7211,72956,,Certificate III or IV,,,15900,,4,0,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Earthmoving Plant Operators,72-mobile-plant-operators,earthmoving-plant-operators,7212,98800,,Certificate III or IV,,,50000,,4,-1,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Forklift Drivers,72-mobile-plant-operators,forklift-drivers,7213,69680,,Certificate II or III,,,69000,,3,0,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Mobile Plant Operators,72-mobile-plant-operators,other-mobile-plant-operators,7219,88192,,Certificate III or IV,,,13400,,4,2,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Automobile Drivers,73-road-and-rail-drivers,automobile-drivers,7311,,,Certificate II or III,,,50500,,9,-3,1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Bus and Coach Drivers,73-road-and-rail-drivers,bus-and-coach-drivers,7312,93340,,Certificate II or III,,,40300,,9,-1,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Train and Tram Drivers,73-road-and-rail-drivers,train-and-tram-drivers,7313,156052,,Certificate II or III,,,18700,,6,9,2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Delivery Drivers,73-road-and-rail-drivers,delivery-drivers,7321,68016,,Certificate II or III,,,84900,,21,1,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Truck Drivers,73-road-and-rail-drivers,truck-drivers,7331,101920,,Certificate II or III,,,183600,,4,-3,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Storepersons,74-storepersons,storepersons,7411,69056,,Certificate II or III,,,164200,,13,1,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Car Detailers,81-cleaners-and-laundry-workers,car-detailers,8111,64480,,Certificate I or no formal qualification,,,17100,,2,-4,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Commercial Cleaners,81-cleaners-and-laundry-workers,commercial-cleaners,8112,65208,,Certificate I or no formal qualification,,,150200,,4,-1,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Domestic Cleaners,81-cleaners-and-laundry-workers,domestic-cleaners,8113,67704,,Certificate I or no formal qualification,,,35300,,5,-1,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Housekeepers,81-cleaners-and-laundry-workers,housekeepers,8114,63960,,Certificate I or no formal qualification,,,34800,,4,5,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Laundry Workers,81-cleaners-and-laundry-workers,laundry-workers,8115,60008,,Certificate I or no formal qualification,,,17100,,4,12,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Cleaners,81-cleaners-and-laundry-workers,other-cleaners,8116,69784,,Certificate II or III,,,14700,,4,3,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Building and Plumbing Labourers,82-construction-and-mining-labourers,building-and-plumbing-labourers,8211,95004,,Certificate II or III,,,71500,,6,1,-2,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Concreters,82-construction-and-mining-labourers,concreters,8212,114868,,Certificate II or III,,,43200,,6,6,-3,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Fencers,82-construction-and-mining-labourers,fencers,8213,64948,,Certificate II or III,,,12800,,5,-1,-1,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Insulation and Home Improvement Installers,82-construction-and-mining-labourers,insulation-and-home-improvement-installers,8214,83512,,Certificate II or III,,,28000,,6,2,0,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Paving and Surfacing Labourers,82-construction-and-mining-labourers,paving-and-surfacing-labourers,8215,71916,,Certificate I or no formal qualification,,,7600,,1,4,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Railway Track Workers,82-construction-and-mining-labourers,railway-track-workers,8216,,,Certificate II or III,,,5400,,1,-4,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Structural Steel Construction Workers,82-construction-and-mining-labourers,structural-steel-construction-workers,8217,151320,,Certificate II or III,,,26100,,5,4,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Construction and Mining Labourers,82-construction-and-mining-labourers,other-construction-and-mining-labourers,8219,,,Certificate II or III,,,8600,,1,6,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Food and Drink Factory Workers,83-factory-process-workers,food-and-drink-factory-workers,8311,85644,,Certificate I or no formal qualification,,,27900,,3,-3,-7,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Meat Boners and Slicers, and Slaughterers",83-factory-process-workers,meat-boners-and-slicers-and-slaughterers,8312,84604,,Certificate II or III,,,7400,,-3,4,-9,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Meat, Poultry and Seafood Process Workers",83-factory-process-workers,meat-poultry-and-seafood-process-workers,8313,64688,,Certificate I or no formal qualification,,,15100,,-2,1,-8,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Packers,83-factory-process-workers,packers,8321,71032,,Certificate I or no formal qualification,,,56400,,3,-5,-6,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Product Assemblers,83-factory-process-workers,product-assemblers,8322,62192,,Certificate I or no formal qualification,,,25200,,7,1,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Metal Engineering Process Workers,83-factory-process-workers,metal-engineering-process-workers,8391,63024,,Certificate I or no formal qualification,,,8100,,5,-9,-7,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Plastics and Rubber Factory Workers,83-factory-process-workers,plastics-and-rubber-factory-workers,8392,83668,,Certificate II or III,,,2200,,3,9,-6,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Product Quality Controllers,83-factory-process-workers,product-quality-controllers,8393,73008,,Certificate III or IV,,,12900,,2,2,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Timber and Wood Process Workers,83-factory-process-workers,timber-and-wood-process-workers,8394,,,Certificate II or III,,,3900,,-3,-10,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Factory Process Workers,83-factory-process-workers,other-factory-process-workers,8399,78988,,,,,11800,,4,-1,-6,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Aquaculture Workers,84-farm-forestry-and-garden-workers,aquaculture-workers,8411,,,Certificate II or III,,,900,,18,0,-4,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Crop Farm Workers,84-farm-forestry-and-garden-workers,crop-farm-workers,8412,,,Certificate II or III,,,20000,,6,-5,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Forestry and Logging Workers,84-farm-forestry-and-garden-workers,forestry-and-logging-workers,8413,,,Certificate I or no formal qualification,,,2000,,6,0,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Garden and Nursery Labourers,84-farm-forestry-and-garden-workers,garden-and-nursery-labourers,8414,,,,,,35700,,5,3,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Livestock Farm Workers,84-farm-forestry-and-garden-workers,livestock-farm-workers,8415,,,,,,29100,,2,-1,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Mixed Crop and Livestock Farm Workers,84-farm-forestry-and-garden-workers,mixed-crop-and-livestock-farm-workers,8416,,,,,,3700,,3,-3,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
"Other Farm, Forestry and Garden Workers",84-farm-forestry-and-garden-workers,other-farm-forestry-and-garden-workers,8419,,,,,,16300,,4,5,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Fast Food Cooks,85-food-preparation-assistants,fast-food-cooks,8511,50804,,Certificate I or no formal qualification,,,49500,,7,0,-6,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Food Trades Assistants,85-food-preparation-assistants,food-trades-assistants,8512,71760,,Certificate I or no formal qualification,,,4300,,4,-9,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Kitchenhands,85-food-preparation-assistants,kitchenhands,8513,67184,,,,,150800,,9,1,-5,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Freight and Furniture Handlers,89-other-labourers,freight-and-furniture-handlers,8911,85904,,Certificate I or no formal qualification,,,15200,,2,0,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Shelf Fillers,89-other-labourers,shelf-fillers,8912,53144,,Certificate I or no formal qualification,,,72300,,0,1,-7,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Caretakers,89-other-labourers,caretakers,8991,71916,,Certificate I or no formal qualification,,,6600,,4,-2,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Deck and Fishing Hands,89-other-labourers,deck-and-fishing-hands,8992,89440,,Certificate II or III,,,6900,,3,1,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Handypersons,89-other-labourers,handypersons,8993,79976,,Certificate I or no formal qualification,,,41400,,8,-2,-1,Faster than average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Motor Vehicle Parts and Accessories Fitters,89-other-labourers,motor-vehicle-parts-and-accessories-fitters,8994,,,Certificate II or III,,,15100,,5,3,-2,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Printing Assistants and Table Workers,89-other-labourers,printing-assistants-and-table-workers,8995,65156,,Certificate I or no formal qualification,,,2700,,0,4,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Recycling and Rubbish Collectors,89-other-labourers,recycling-and-rubbish-collectors,8996,76024,,Certificate I or no formal qualification,,,3500,,5,-3,-3,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Vending Machine Attendants,89-other-labourers,vending-machine-attendants,8997,59800,,,,,4000,,4,-8,-5,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
Other Miscellaneous Labourers,89-other-labourers,other-miscellaneous-labourers,8999,80236,,Certificate II or III,,,73700,,4,4,-4,Average,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations
