title,category,anzsco_code,num_jobs_2024,median_pay_annual,outlook_pct,entry_education,url,outlook_pct_2025_actual,outlook_pct_ai
Laundry Workers,81-cleaners-and-laundry-workers,8115,17100,60008,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,12,-5
Other Cleaners,81-cleaners-and-laundry-workers,8116,14700,69784,4,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Building and Plumbing Labourers,82-construction-and-mining-labourers,8211,71500,95004,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-2
Concreters,82-construction-and-mining-labourers,8212,43200,114868,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-3
Fencers,82-construction-and-mining-labourers,8213,12800,64948,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-1
Insulation and Home Improvement Installers,82-construction-and-mining-labourers,8214,28000,83512,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,0
Paving and Surfacing Labourers,82-construction-and-mining-labourers,8215,7600,71916,1,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-2
Railway Track Workers,82-construction-and-mining-labourers,8216,5400,,1,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-4,-4
Structural Steel Construction Workers,82-construction-and-mining-labourers,8217,26100,151320,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-3
Other Construction and Mining Labourers,82-construction-and-mining-labourers,8219,8600,,1,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,6,-2
Food and Drink Factory Workers,83-factory-process-workers,8311,27900,85644,3,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-7
"Meat Boners and Slicers, and Slaughterers",83-factory-process-workers,8312,7400,84604,-3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-9
"Meat, Poultry and Seafood Process Workers",83-factory-process-workers,8313,15100,64688,-2,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-8
Packers,83-factory-process-workers,8321,56400,71032,3,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-5,-6
Product Assemblers,83-factory-process-workers,8322,25200,62192,7,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-5
Metal Engineering Process Workers,83-factory-process-workers,8391,8100,63024,5,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-9,-7
Plastics and Rubber Factory Workers,83-factory-process-workers,8392,2200,83668,3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,9,-6
Product Quality Controllers,83-factory-process-workers,8393,12900,73008,2,Certificate III or IV,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,2,-4
Timber and Wood Process Workers,83-factory-process-workers,8394,3900,,-3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-10,-5
Other Factory Process Workers,83-factory-process-workers,8399,11800,78988,4,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-6
Aquaculture Workers,84-farm-forestry-and-garden-workers,8411,900,,18,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-4
Crop Farm Workers,84-farm-forestry-and-garden-workers,8412,20000,,6,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-5,-5
Forestry and Logging Workers,84-farm-forestry-and-garden-workers,8413,2000,,6,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-6
Garden and Nursery Labourers,84-farm-forestry-and-garden-workers,8414,35700,,5,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-3
Livestock Farm Workers,84-farm-forestry-and-garden-workers,8415,29100,,2,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-1,-4
Mixed Crop and Livestock Farm Workers,84-farm-forestry-and-garden-workers,8416,3700,,3,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-3
"Other Farm, Forestry and Garden Workers",84-farm-forestry-and-garden-workers,8419,16300,,4,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,5,-5
Fast Food Cooks,85-food-preparation-assistants,8511,49500,50804,7,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-6
Food Trades Assistants,85-food-preparation-assistants,8512,4300,71760,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-9,-4
Kitchenhands,85-food-preparation-assistants,8513,150800,67184,9,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-5
Freight and Furniture Handlers,89-other-labourers,8911,15200,85904,2,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,0,-3
Shelf Fillers,89-other-labourers,8912,72300,53144,0,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-7
Caretakers,89-other-labourers,8991,6600,71916,4,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,-2
Deck and Fishing Hands,89-other-labourers,8992,6900,89440,3,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,1,-3
Handypersons,89-other-labourers,8993,41400,79976,8,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-2,-1
Motor Vehicle Parts and Accessories Fitters,89-other-labourers,8994,15100,,5,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,3,-2
Printing Assistants and Table Workers,89-other-labourers,8995,2700,65156,0,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-4
Recycling and Rubbish Collectors,89-other-labourers,8996,3500,76024,5,Certificate I or no formal qualification,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-3,-3
Vending Machine Attendants,89-other-labourers,8997,4000,59800,4,,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,-8,-5
Other Miscellaneous Labourers,89-other-labourers,8999,73700,80236,4,Certificate II or III,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations,4,-4
